week,day,duration_min,label,detail
1,Tuesday,30,Easy,30 min easy @ 8:45–9:00/mi | 4 × 20 sec strides (accelerate to ~90% effort; walk back fully)
1,Thursday,35,Tempo,10 min easy warmup | 15 min @ tempo (7:30/mi) | 10 min easy cooldown
1,Saturday,45,Long,45 min easy @ 8:30–9:00/mi; focus on relaxed form and time on feet
2,Tuesday,30,Easy,30 min easy | 4 × 20 sec strides (accelerate to ~90% effort; walk back fully)
2,Thursday,35,Intervals,10 min warmup | 4 × (2 min @ 6:45/mi / 90 sec easy jog) | 10 min cooldown
2,Saturday,50,Long,50 min easy @ 8:30–9:00/mi; stay conversational throughout
3,Tuesday,30,Easy,30 min easy | 4 × 25 sec strides (accelerate to ~90% effort; walk back fully)
3,Thursday,40,Tempo,10 min warmup | 20 min @ tempo (7:30/mi) | 10 min cooldown
3,Saturday,55,Long,55 min easy; even effort on any hills
4,Tuesday,25,Easy,25 min easy — recovery week | 4 × 20 sec strides (walk back fully)
4,Thursday,30,Easy,30 min easy — recovery week | 4 × 20 sec strides (walk back fully)
4,Saturday,40,Long,40 min easy — recovery week; keep effort relaxed
5,Tuesday,30,Easy,30 min easy | 5 × 20 sec strides (accelerate to ~90% effort; walk back fully)
5,Thursday,40,Intervals,10 min warmup | 5 × (2 min @ 6:45/mi / 90 sec easy jog) | 10 min cooldown
5,Saturday,55,Long,55 min easy @ 8:30–9:00/mi
6,Tuesday,35,Easy,35 min easy | 5 × 25 sec strides (walk back fully)
6,Thursday,40,Tempo,10 min warmup | 20 min @ tempo (7:25/mi) | 10 min cooldown
6,Saturday,60,Long,60 min easy; practice fueling if desired
7,Tuesday,35,Easy,35 min easy | 5 × 25 sec strides (walk back fully)
7,Thursday,40,Intervals,10 min warmup | 5 × (2.5 min @ 6:45/mi / 90 sec easy jog) | 10 min cooldown
7,Saturday,60,Long,60 min easy; last 10 min pick up to moderate effort
8,Tuesday,25,Easy,25 min easy — recovery week | 4 × 20 sec strides (walk back fully)
8,Thursday,30,Tempo,10 min warmup | 12 min @ tempo (7:25/mi) | 8 min cooldown
8,Saturday,45,Long,45 min easy — recovery week
9,Tuesday,35,Easy,35 min easy | 5 × 25 sec strides (walk back fully)
9,Thursday,45,Intervals,10 min warmup | 6 × (2.5 min @ 6:40/mi / 90 sec easy jog) | 10 min cooldown
9,Saturday,65,Long,65 min easy @ 8:30–8:45/mi
10,Tuesday,35,Easy,35 min easy | 5 × 25 sec strides (walk back fully)
10,Thursday,45,Tempo,10 min warmup | 25 min @ tempo (7:20/mi) | 10 min cooldown
10,Saturday,70,Long,70 min easy; focus on steady effort
11,Tuesday,35,Easy,35 min easy | 5 × 30 sec strides (walk back fully)
11,Thursday,45,Intervals,10 min warmup | 6 × (3 min @ 6:40/mi / 90 sec easy jog) | 10 min cooldown
11,Saturday,70,Long,70 min easy; last 15 min at moderate effort (8:00/mi)
12,Tuesday,30,Easy,30 min easy — recovery week | 4 × 20 sec strides (walk back fully)
12,Thursday,30,Easy,30 min easy — recovery week | 4 × 20 sec strides (walk back fully)
12,Saturday,50,Long,50 min easy — recovery week
13,Tuesday,35,Easy,35 min easy | 5 × 25 sec strides (walk back fully)
13,Thursday,45,Tempo,10 min warmup | 25 min @ tempo (7:20/mi) | 10 min cooldown
13,Saturday,70,Long,70 min easy @ 8:30/mi
14,Tuesday,35,Easy,35 min easy | 5 × 30 sec strides (walk back fully)
14,Thursday,50,Intervals,10 min warmup | 5 × (3 min @ 6:35/mi / 2 min easy jog) | 10 min cooldown
14,Saturday,75,Long,75 min easy; even splits on rolling terrain
15,Tuesday,35,Easy,35 min easy | 5 × 30 sec strides (walk back fully)
15,Thursday,50,Tempo,10 min warmup | 30 min @ tempo (7:20/mi) | 10 min cooldown
15,Saturday,75,Long,75 min easy; last 20 min at moderate (8:00/mi)
16,Tuesday,25,Easy,25 min easy — recovery week | 4 × 20 sec strides (walk back fully)
16,Thursday,35,Tempo,10 min warmup | 15 min @ tempo (7:20/mi) | 10 min cooldown
16,Saturday,55,Long,55 min easy — recovery week
17,Tuesday,35,Easy,35 min easy | 5 × 30 sec strides (walk back fully)
17,Thursday,50,Intervals,10 min warmup | 6 × (3 min @ 6:35/mi / 2 min easy jog) | 10 min cooldown
17,Saturday,75,Long,75 min easy @ 8:15–8:30/mi
18,Tuesday,40,Easy,40 min easy | 5 × 30 sec strides (walk back fully)
18,Thursday,50,Tempo,10 min warmup | 30 min @ tempo (7:15/mi) | 10 min cooldown
18,Saturday,80,Long,80 min easy; stay relaxed and patient
19,Tuesday,40,Easy,40 min easy | 5 × 30 sec strides (walk back fully)
19,Thursday,50,Intervals,10 min warmup | 5 × (4 min @ 6:35/mi / 2 min easy jog) | 10 min cooldown
19,Saturday,80,Long,80 min easy; last 20 min at moderate effort
20,Tuesday,30,Easy,30 min easy — recovery week | 4 × 25 sec strides (walk back fully)
20,Thursday,35,Tempo,10 min warmup | 15 min @ tempo (7:15/mi) | 10 min cooldown
20,Saturday,55,Long,55 min easy — recovery week
21,Tuesday,40,Easy,40 min easy | 5 × 30 sec strides (walk back fully)
21,Thursday,50,Intervals,10 min warmup | 6 × (4 min @ 6:35/mi / 2 min easy jog) | 10 min cooldown
21,Saturday,80,Long,80 min easy @ 8:15–8:30/mi
22,Tuesday,40,Easy,40 min easy | 6 × 30 sec strides (walk back fully)
22,Thursday,55,Tempo,10 min warmup | 35 min @ tempo (7:15/mi) | 10 min cooldown
22,Saturday,85,Long,85 min easy; practice race-day nutrition
23,Tuesday,40,Easy,40 min easy | 6 × 30 sec strides (walk back fully)
23,Thursday,55,Intervals,10 min warmup | 5 × (5 min @ 6:40/mi / 2 min easy jog) | 10 min cooldown
23,Saturday,85,Long,85 min easy; last 25 min at moderate-to-tempo (7:45/mi)
24,Tuesday,30,Easy,30 min easy — recovery week | 4 × 25 sec strides (walk back fully)
24,Thursday,35,Easy,35 min easy — recovery week | 4 × 25 sec strides (walk back fully)
24,Saturday,60,Long,60 min easy — recovery week
25,Tuesday,40,Easy,40 min easy | 6 × 30 sec strides (walk back fully)
25,Thursday,55,Tempo,10 min warmup | 35 min @ race effort (7:10/mi) | 10 min cooldown
25,Saturday,85,Long,85 min easy @ 8:15/mi
26,Tuesday,40,Easy,40 min easy | 6 × 30 sec strides (walk back fully)
26,Thursday,55,Intervals,10 min warmup | 4 × (6 min @ 6:50/mi / 2.5 min easy jog) | 10 min cooldown
26,Saturday,90,Long,90 min easy; peak long run — simulate race morning routine
27,Tuesday,40,Easy,40 min easy | 6 × 30 sec strides (walk back fully)
27,Thursday,55,Tempo,10 min warmup | 35 min @ race effort (7:10/mi) | 10 min cooldown
27,Saturday,90,Long,90 min easy; last 30 min at race effort (7:10/mi)
28,Tuesday,30,Easy,30 min easy — recovery week | 4 × 25 sec strides (walk back fully)
28,Thursday,40,Tempo,10 min warmup | 20 min @ tempo (7:15/mi) | 10 min cooldown
28,Saturday,60,Long,60 min easy — recovery week
29,Tuesday,40,Easy,40 min easy | 6 × 30 sec strides (walk back fully)
29,Thursday,55,Intervals,10 min warmup | 5 × (5 min @ 6:50/mi / 2 min easy jog) | 10 min cooldown
29,Saturday,85,Long,85 min easy @ 8:15/mi
30,Tuesday,40,Easy,40 min easy | 6 × 30 sec strides (walk back fully)
30,Thursday,55,Tempo,10 min warmup | 35 min @ race effort (7:10/mi) | 10 min cooldown
30,Saturday,90,Long,90 min easy; last 30 min progression from 8:00 → 7:10/mi
31,Tuesday,40,Easy,40 min easy | 6 × 30 sec strides (walk back fully)
31,Thursday,55,Intervals,10 min warmup | 3 × (8 min @ 7:00/mi / 2.5 min easy jog) | 10 min cooldown
31,Saturday,85,Long,85 min easy; mentally rehearse race strategy
32,Tuesday,30,Easy,30 min easy — recovery week | 4 × 25 sec strides (walk back fully)
32,Thursday,40,Tempo,10 min warmup | 20 min @ race effort (7:10/mi) | 10 min cooldown
32,Saturday,60,Long,60 min easy — recovery week
33,Tuesday,40,Easy,40 min easy | 6 × 30 sec strides (walk back fully)
33,Thursday,50,Intervals,10 min warmup | 4 × (6 min @ 6:55/mi / 2 min easy jog) | 10 min cooldown
33,Saturday,80,Long,80 min easy; last 25 min at race effort (7:10/mi)
34,Tuesday,40,Easy,40 min easy | 6 × 30 sec strides (walk back fully)
34,Thursday,50,Tempo,10 min warmup | 30 min @ race effort (7:10/mi) | 10 min cooldown
34,Saturday,75,Long,75 min easy; confidence builder — you are fit
35,Tuesday,35,Easy,35 min easy | 5 × 25 sec strides (walk back fully)
35,Thursday,45,Tempo,10 min warmup | 25 min @ race effort (7:10/mi) | 10 min cooldown
35,Saturday,70,Long,70 min easy; controlled and relaxed
36,Tuesday,30,Easy,30 min easy — taper begins | 5 × 25 sec strides (walk back fully)
36,Thursday,40,Tempo,10 min warmup | 20 min @ race effort (7:10/mi) | 10 min cooldown
36,Saturday,55,Long,55 min easy; taper — enjoy the lighter load
37,Tuesday,25,Easy,25 min easy | 4 × 25 sec strides (walk back fully)
37,Thursday,30,Tempo,10 min warmup | 12 min @ race effort (7:10/mi) | 8 min cooldown
37,Saturday,40,Long,40 min easy; stay sharp and confident
38,Tuesday,25,Easy,25 min easy | 4 × 20 sec strides (walk back fully)
38,Thursday,20,Easy,20 min easy shakeout — short and relaxed; no strides
38,Saturday,0,Race,Race day — Charlottesville 10 Miler! Trust your training and run your pace.
